train_loss,val_loss,val_acc
2.8062668943947013,2.0653231309939035,0.4944
2.0577806144614113,1.844187336631968,0.517
1.9127094317227602,1.744483336617675,0.5422
1.8505463122644208,1.7033697442163396,0.5408
1.809854345396161,1.6605451740796053,0.5514
